CustomerID,FirstName,LastName,Email,Phone,DateOfBirth,Gender,Country,City,PostalCode,Address,SignupDate,CustomerType,TotalSpent,PreferredContactMethod
C1017,Donald,Combs,hbowen@shepard.com,(262)240-5774x237,04-05-1968,Male,Martinique,South Nathanfort,45214,"0224 Gabrielle Center
Bradyview, FL 78468",05-04-2024,Returning,5184.75,Email
C1018,Nichole,Case,nmathews@hotmail.com,(552)897-9657,30-10-1973,Other,Dominica,New Jasonside,37530,"0876 Traci Valleys
West Dominique, NM 05355",10-12-2024,VIP,8681.8,Email
C1019,Robert,Rodriguez,plutz@martinez.com,001-235-352-3518,02-07-1984,Male,Congo,New Nancy,89230,"222 Fisher Meadows
Port Matthewbury, ID 98403",30-06-2024,VIP,1711.68,Email
C1020,Aaron,Bauer,coxjoshua@gmail.com,154.252.3367,10-07-1992,Other,Belize,New William,98216,"01582 Hansen Manors Suite 004
Munozmouth, WV 87343",06-09-2023,VIP,3810.7,SMS
C1021,Susan,Jenkins,carlywalker@barrett.com,001-061-136-8345x47755,12-10-1981,Other,Bouvet Island (Bouvetoya),Timothyside,42066,"10289 Kimberly Valley
Lake Robert, GA 60683",10-01-2025,New,7272.84,Phone
C1022,Christy,Romero,joshua79@yahoo.com,612-967-8038,25-01-1974,Female,Cote d'Ivoire,East Bruceborough,64860,"7164 Alejandro Shoals Suite 521
Matthewburgh, DC 38493",06-12-2023,VIP,1147.34,Email
C1023,Curtis,Porter,robert46@gmail.com,669.504.4856x37518,06-01-1969,Female,Kyrgyz Republic,East Charles,8414,"7568 John Freeway
Flynnborough, VT 38807",30-01-2023,New,1520.02,Email
C1024,Charles,Simmons,brittney43@gmail.com,846-804-2167x697,04-10-1967,Other,Madagascar,West Deanna,37391,"123 Williams Neck Suite 384
Port Marthaville, OK 76446",28-03-2023,VIP,1929.54,SMS
C1025,Sara,Gray,kaitlin97@yahoo.com,115.610.6835,27-09-1989,Female,Hungary,Taylorborough,83786,"Unit 2528 Box 9022
DPO AE 08492",29-07-2023,Returning,4919.44,Email
C1026,Kimberly,Jenkins,sierra31@wells.com,(888)849-9027,14-05-1963,Female,Ghana,Brandyport,10335,"411 Roy Bypass
Colleenton, WA 63018",31-03-2023,New,9889.94,Phone
C1027,Gabriel,Lewis,raymond43@gmail.com,037-550-4475x1827,20-09-1972,Other,Eritrea,New William,10412,"80657 Wheeler Village
Dianeborough, KS 39053",14-04-2024,Returning,2430.14,SMS
C1028,Brent,Hamilton,goldenolivia@dawson-smith.com,001-956-148-1557x910,27-10-1956,Other,Taiwan,Hughesmouth,45805,"740 Jody Prairie Apt. 129
Danielton, NM 57043",08-12-2024,Returning,6635.24,Email
C1029,Jonathan,Strickland,alan16@thompson.biz,001-792-846-1930x1388,14-07-1991,Female,Afghanistan,West Cathyshire,78749,"314 Cheryl Loaf Apt. 485
Lake Laura, WY 49604",09-09-2023,Returning,5950.1,SMS
C1030,Elizabeth,Delacruz,juanrobertson@hotmail.com,7394332878,09-03-1989,Female,Switzerland,Gonzalezhaven,81748,"USNV Wells
FPO AA 15202",23-05-2024,VIP,6627.54,Phone
C1031,Jonathan,Kennedy,zimmermanbill@gmail.com,+1-867-012-9259x12635,16-11-1966,Female,Romania,Nicholasburgh,69169,"6724 Hall Drives
Kevinview, OR 06911",31-01-2023,VIP,8879.86,Email
C1032,Andrew,Lamb,gonzalezpaige@bryant-daniels.com,153-370-2762,03-01-1958,Other,Isle of Man,New Jeffrey,51743,"798 Mary Court
Port Theresa, GA 83102",17-03-2023,New,8984.65,Email
C1033,Amanda,Larson,douglaspeterson@fowler-howard.com,001-918-420-0834x939,22-12-1982,Female,New Zealand,West Williamville,76646,"695 Mcdowell Divide Suite 897
Johnsonmouth, MN 89328",23-12-2023,VIP,3317.39,Phone
C1034,Robert,Davidson,lisa07@day.com,(634)866-7241x809,22-12-2000,Other,Comoros,New Ann,15952,"38029 Derek Port Apt. 336
North Jenniferchester, MD 18279",21-03-2024,New,2351.32,Email
C1035,Rhonda,Clark,cstevenson@hartman.com,400.046.1735x13114,01-06-1956,Female,Georgia,Evanschester,49935,"189 Kimberly Field Apt. 564
Ramireztown, IA 80314",31-03-2024,New,801.14,SMS
C1036,Robert,Taylor,waltercross@house.info,6361015450,14-06-1962,Other,United States Virgin Islands,Jessicaport,49244,"066 Joshua Cliffs
Gonzalezmouth, IL 60400",19-08-2024,New,8676.64,Phone
C1037,Matthew,Miller,randy50@davidson-estes.com,468.823.7151x30264,04-07-1966,Other,Macao,Port Allisonmouth,88030,"81291 Kristen Prairie
Merrittfurt, OH 34176",20-10-2023,New,6633.94,Email
C1038,Christopher,Zhang,sanchezphillip@gonzalez.com,(255)478-0711x7330,21-08-2005,Male,Ethiopia,Rojasberg,66114,"65084 John Knoll
Port William, CO 04157",14-05-2023,Returning,8273.33,SMS
C1039,Alexandra,Miller,lisadillon@williams.biz,001-079-540-5838x4429,31-07-1959,Other,Poland,Matthewmouth,5346,"17761 Lori Drive Apt. 086
West Amymouth, ID 89537",28-02-2024,Returning,8697.36,Email
C1040,Neil,Miller,billycabrera@hotmail.com,766-349-3656,26-06-1964,Male,Equatorial Guinea,Whitneymouth,80039,"778 Craig Hill
Johnmouth, UT 72008",24-08-2024,Returning,4790.59,Email
C1041,David,Walters,zacharyrobinson@osborn.org,(109)174-6918x97275,11-05-1969,Male,Bermuda,New Stephanieshire,81271,"65666 Lauren Circles Suite 507
Steventown, LA 34014",03-01-2024,Returning,5754.51,Email
C1042,Blake,Miller,douglaskenneth@higgins-carr.com,+1-814-686-6776x228,06-11-1969,Female,Palestinian Territory,North Jorgetown,76220,"87453 Davis Springs
Lake Marcus, RI 46097",15-07-2023,VIP,3045.62,SMS
C1043,Thomas,Taylor,murillomichael@foster-webb.com,+1-021-823-5303x139,20-04-1974,Other,Turkmenistan,New Douglas,52142,"35312 Jennings Meadows
Lake Leahville, MO 02558",15-03-2023,New,2679.58,Phone
C1044,Tara,Davis,angelajones@gmail.com,292.760.4081x24929,23-11-1955,Male,Sudan,Watersmouth,19022,"380 Julie Park
Barnettchester, IA 58622",03-11-2023,Returning,4164.3,Email
C1045,Jessica,Paul,mgreen@hotmail.com,(972)756-8498x529,13-09-1975,Female,Japan,Mullinstown,27532,"78200 Norton Garden Suite 630
Hannahland, MT 28516",04-02-2024,New,198.84,Email
C1046,David,Torres,antonio12@lowe-hicks.com,9723149944,28-06-1975,Other,Belgium,Kimside,67010,"34681 Barry Villages
West Ashley, ID 06999",21-08-2023,New,9178.53,Phone
C1047,Courtney,Woods,cobbautumn@hotmail.com,(920)845-8486x510,26-07-1992,Female,Maldives,Aaronbury,16709,"0836 Kim Row Apt. 625
South Hollyview, IA 79049",16-09-2024,VIP,2840.61,SMS
C1048,Paul,Wilson,josephmartin@rice.com,091.852.6054,25-02-1986,Male,Iceland,Piercemouth,71161,"5224 Mendez Manors Apt. 084
Riveraburgh, MS 40002",13-12-2023,Returning,503.85,SMS
C1049,Courtney,Morales,maryshaffer@brown.com,001-104-254-1221x5434,24-01-1963,Male,Romania,Nathanside,46582,"59187 Connor Circles
Port Robert, NC 40247",07-10-2024,New,3810.74,Email
C1050,Diana,Baldwin,ihiggins@yahoo.com,+1-519-565-7682x9559,12-09-1990,Other,Bosnia and Herzegovina,South Kristopher,85045,"550 Ashley Lodge
New Michelefort, IA 26440",15-07-2023,Returning,9182.71,Email
C1051,Justin,Adams,uthomas@hotmail.com,(881)243-2682,11-06-1985,Other,Luxembourg,East Kimberlyport,65638,"31605 Mark Bridge
East Tylerfort, KS 60089",09-08-2023,New,2907.98,Phone
C1052,Marie,Fox,linteresa@roberts.biz,875.101.8918,05-12-1961,Male,Ghana,Johnburgh,18948,"06619 Brenda Ridge Suite 418
South Brittany, TX 52641",20-11-2023,Returning,9460.5,SMS
C1053,Crystal,Rhodes,mday@hotmail.com,001-754-918-7049x9800,16-09-1991,Female,Ethiopia,Riveraport,89574,"84163 Day Unions Apt. 088
South Victoria, MI 75615",23-02-2024,New,4894.94,SMS
C1054,Curtis,Schultz,qmoore@yahoo.com,001-873-031-6291x9334,27-04-1963,Other,Botswana,East Sandra,37526,"301 Henry Trafficway Suite 510
Foxton, PA 56763",18-07-2023,VIP,4836.56,Phone
C1055,Kendra,Rangel,kelly49@yahoo.com,001-654-917-7109x15248,02-05-1978,Other,Djibouti,Burtonstad,51927,"023 Carol Camp Apt. 311
New Williamhaven, IL 73399",30-07-2024,VIP,6376.93,Email
C1056,Jeremy,Ross,kaitlyn26@yahoo.com,(021)395-5661x445,19-12-1964,Female,United Kingdom,Jillburgh,1842,"2757 Corey Parks
Port Bradleyhaven, SC 17870",01-06-2024,Returning,999.16,SMS
C1057,Jason,Wise,rebekahroberts@sims.net,001-165-869-2430,24-06-1958,Other,Guernsey,Nicholasville,46781,"617 Espinoza Meadows Suite 429
New Jamesberg, OH 66217",08-05-2024,VIP,8339.48,SMS
C1058,Jackie,Kim,bperez@hotmail.com,846.510.3505x0144,10-09-2006,Other,Saint Kitts and Nevis,North Chelsea,81877,"68658 Jerry Isle
Lake Cathymouth, ID 76298",06-04-2023,VIP,3770.39,SMS
C1059,Karen,Johnson,woodscarolyn@pittman-zimmerman.info,001-455-942-3942x250,21-01-2005,Male,Singapore,Thompsonview,98369,"7624 Misty Turnpike
Maryland, ID 30701",23-06-2024,New,2243.67,SMS
C1060,Cassandra,Gonzalez,valenzueladebra@mays.com,440.017.0347,05-05-1956,Female,Uruguay,Butlerview,35291,"095 Smith Trail
North Virginiatown, OH 55424",21-01-2023,Returning,8379.53,SMS
C1061,Heather,Ho,jennifersharp@green-henry.com,001-315-782-6835x135,06-02-2000,Male,Tuvalu,East Melissaton,65838,"674 Thomas Knolls
New Michelle, MD 19921",21-09-2024,Returning,5477.9,Phone
C1062,Jennifer,Fox,asmith@rogers-floyd.com,-1863,26-07-1955,Female,Antigua and Barbuda,Sanchezborough,54626,"210 Bobby Manor Suite 815
North Monicaburgh, WI 69490",05-07-2023,Returning,4391.46,Phone
C1063,Jason,Weaver,fischerandrea@hotmail.com,001-307-151-8256x8900,08-07-1971,Female,Ghana,Charlesburgh,24043,"79689 Thomas Coves Suite 851
Port Duane, ME 60801",03-04-2024,New,5013.66,Email
C1064,Amy,Smith,npierce@yahoo.com,+1-734-168-3834x068,26-02-1963,Female,Wallis and Futuna,Coxtown,6499,"080 Anthony Place Suite 837
Bakerburgh, KS 66313",18-04-2024,Returning,5359.54,Email
C1065,Margaret,Henry,aguirredeborah@gmail.com,087-923-5380x629,12-02-1993,Other,Pitcairn Islands,Michaelborough,611,"7165 Timothy Lodge
Brandonland, OH 60708",13-12-2024,VIP,456.04,Phone
C1066,Tracy,Bond,jenniferluna@martinez.info,035-531-0321x150,23-02-1966,Other,Comoros,Aprilburgh,47349,"163 Sandra Expressway
East Jocelynbury, WI 80796",04-11-2024,New,8953.98,SMS
C1067,Jessica,Bush,paulwoods@davis.info,354.418.6293x449,23-07-1956,Other,Greece,Carlsonport,33437,"1628 Fox Place Apt. 983
Royland, LA 62792",14-12-2023,New,2052.5,Phone
C1068,Thomas,Kelly,iwalters@ballard.com,-7171,24-05-1972,Male,Cuba,New Kimberlymouth,81830,"0727 Gonzales Plain Suite 186
Taylorfurt, RI 20808",31-03-2023,Returning,6523.47,SMS
C1069,Joy,White,jasongalloway@gmail.com,596.937.1221,03-10-1990,Male,Angola,East Lisa,44686,"2855 Joshua Walk Apt. 108
South Amandaville, TN 09732",16-03-2024,Returning,1928.14,Phone
C1070,Gina,Lopez,hpatel@knight.com,765-756-3615x5175,12-05-2000,Other,Holy See (Vatican City State),Port Alan,1911,"11217 Jones Track Apt. 124
Lake Amanda, WA 32256",24-10-2024,New,1867.84,Email
C1071,Hayden,Porter,lynnperkins@ford.com,598.345.0873x320,12-10-1968,Female,Norway,East Michaelville,49537,"052 Justin Wells
Port George, MD 42279",03-06-2023,New,8301.71,Email
C1072,Norma,Mcconnell,wolferhonda@hotmail.com,783.175.1842,03-09-1992,Male,Algeria,Hicksview,94839,"USNS Mejia
FPO AP 47279",06-03-2024,New,756.91,Email
C1073,Christopher,Garcia,elijahriggs@gmail.com,001-616-784-6263x094,13-09-1967,Male,Northern Mariana Islands,South Kathleenmouth,97215,"1705 Wright Union Suite 292
New Scottside, MA 62031",23-02-2024,New,1378.55,Phone
C1074,Erik,Holland,brendalozano@hotmail.com,(272)242-2833,18-09-1980,Male,Japan,New Jessica,22457,"7759 Victoria Throughway
Markview, DC 86729",01-11-2023,New,2457.53,Phone
C1075,Kelly,King,lschmidt@wood.com,680-014-9141,05-09-1997,Female,Swaziland,West Jonathan,81391,"4354 Barbara Locks
North Sandra, OR 05883",22-07-2023,New,6785.74,Phone
C1076,James,Weaver,cunninghammonica@murphy-brooks.com,(679)550-6006x1537,22-01-1966,Male,Mayotte,Hodgesberg,86717,"33104 Jessica Prairie Apt. 342
Amandastad, CA 80449",22-06-2023,VIP,6632.12,Email
C1077,Gina,Williams,lopezashley@yahoo.com,274.447.0125,08-02-1962,Other,Aruba,South Laura,80724,"8919 Elizabeth Rapid Suite 321
New Jeffrey, OH 46836",04-06-2023,New,6606.15,SMS
C1078,Dwayne,Hicks,stevenbennett@west.com,+1-725-746-8060x757,24-09-1987,Other,Ghana,Ramseyberg,2458,"15216 Kimberly Estates
Kevinmouth, SD 90392",01-01-2024,New,1337.2,Phone
C1079,Janet,Harris,jacobjohnson@poole.com,+1-013-878-1729x751,23-07-2001,Female,Nicaragua,Lake Kim,82769,"614 Kristina Harbors
South Michael, SD 13510",30-07-2024,VIP,3332.74,SMS
C1080,Elizabeth,Russell,ashleyvasquez@gmail.com,076-557-0154,13-02-2000,Male,Iran,Michelestad,33638,"7311 Garcia Springs
North Christopherport, ME 71482",18-04-2024,Returning,2098.1,Email
C1081,Christopher,Williamson,tlane@smith-clarke.com,(994)679-1987,12-11-1991,Male,United States Minor Outlying Islands,Port Susan,38533,"3389 Miller Hill Suite 864
Johnsstad, CT 27803",02-07-2024,Returning,9173.96,Phone
C1082,Christine,Griffith,bmora@bass.info,(768)394-8467x82050,25-03-1975,Other,Burkina Faso,East Andrea,37867,"77725 Jennifer Port
East Sheilaland, MA 69970",29-07-2024,New,4998.35,SMS
C1083,Christina,Lee,vbrooks@perez.com,(467)788-3459x54875,12-04-1987,Male,Luxembourg,South Heather,59343,"1190 Veronica Park
South Codyland, WI 03427",22-06-2023,VIP,3129.58,SMS
C1084,Paul,Cobb,xclark@evans.org,289.054.3187x1009,01-09-1992,Other,Malawi,Lake Christopher,75835,"0164 Williams Port
East Oscar, KY 26947",27-11-2023,Returning,9386.67,Phone
C1085,Sophia,Rice,mcdonaldkristina@gmail.com,(806)696-9083,13-05-1974,Female,Tunisia,West Amber,64762,"081 Marshall Drive
North Timothy, CA 77665",07-09-2024,New,453.85,Email
C1086,Mark,Valdez,mbutler@gmail.com,043.125.9029x70534,29-01-1997,Female,Haiti,Ericaton,37951,"5731 Brooks Mill Apt. 546
East Chad, ME 61403",10-11-2024,New,6025.85,SMS
C1087,Jasmin,Johnson,dennisgutierrez@waller.com,630-866-2959x593,22-04-1992,Female,Vanuatu,South Angela,93113,"736 Robert River
New Peter, CT 61085",09-12-2023,VIP,2971.29,Phone
C1088,Mary,Soto,nreed@gmail.com,(317)862-3950,29-11-1973,Female,Palestinian Territory,Gutierrezborough,95617,"77284 Crawford Turnpike
Mclaughlinville, MA 66923",24-05-2023,New,5001.01,SMS
C1089,Amber,Ayala,peterskelly@yahoo.com,(841)774-2955,23-11-1967,Male,Turkey,North Michellehaven,38764,"605 Samuel Stravenue
Frenchbury, OR 53857",31-03-2023,Returning,4394.41,Email
C1090,Lisa,Hicks,christine47@hotmail.com,(958)965-4215x89582,11-01-1996,Male,French Polynesia,New Kimberly,28732,"16108 Lisa Pike
East James, GA 01828",14-10-2023,VIP,2086.25,SMS
C1091,Tammy,Anderson,hannahjohnson@petty-miller.info,258.928.1475x7821,28-06-1992,Male,Burkina Faso,Brockview,72131,"672 Pittman Mountains Apt. 600
Georgeshire, NY 05665",28-11-2024,VIP,8387.57,SMS
C1092,Kenneth,Williams,whiteashley@gmail.com,8267423591,30-07-1977,Other,Philippines,Monicaton,82424,"8495 Brown Mill Suite 108
Lake Michaelchester, UT 31798",29-04-2024,VIP,6666.69,SMS
C1093,David,Compton,christopher29@wood.net,727.768.2112,04-08-1982,Other,Mayotte,Edwinside,65084,"903 Cindy Point
Hansenborough, NE 78780",12-04-2023,New,1276.1,Email
C1094,Justin,Boyd,christopherpetersen@leonard.com,311-769-9357,22-10-1954,Male,Gibraltar,West Samuel,68493,"3591 Kenneth Row
New David, OH 65661",17-10-2023,VIP,2047.22,Phone
C1095,Kristin,Garcia,matthewparker@ross-white.net,001-778-730-6366x5509,27-07-1962,Male,Equatorial Guinea,Gonzalezport,30064,"04259 Banks Route
Kimberlyport, OK 84498",25-08-2024,New,7175.44,Email
C1096,Robert,Lopez,amandalozano@wallace-trujillo.info,312-128-5555,13-11-2005,Female,Bahamas,Kellyton,89976,"PSC 4212, Box 5268
APO AP 54162",04-08-2024,VIP,6542,Phone
C1097,Charles,Sloan,tfernandez@young-smith.org,(339)958-4496,15-10-1967,Female,Mauritania,Charleneland,71779,"80074 Nelson Lights Apt. 792
New Rodney, WV 36558",12-03-2023,Returning,6042.58,Email
C1098,Charles,Evans,chavezedward@grimes.com,057.086.8020x514,21-01-1977,Male,Tanzania,Port Toni,50592,"523 Holt Causeway Suite 308
Jennifermouth, KY 50408",09-08-2023,Returning,8412.91,Email
C1099,Jay,Hamilton,andreamartinez@wagner.net,446.620.6653x9377,05-08-1957,Male,Trinidad and Tobago,South Christina,83728,"6294 Smith Vista Suite 722
North Laura, TX 26764",26-05-2024,New,7194.05,Email
C1100,Michael,Fitzgerald,xwolfe@gomez.com,3719887348,22-02-1959,Female,Kenya,Stevenbury,54453,"1694 Lee Fort Apt. 905
Isaacville, AR 35617",11-12-2023,New,1606.11,Email
C1101,John,Larsen,lisa04@gmail.com,+1-966-710-4706x93300,11-12-1957,Female,South Africa,Gomezshire,86523,"19194 Dunlap Port Apt. 992
East Hannah, AL 52465",30-03-2024,Returning,107.72,SMS
C1102,Jerome,Ramirez,nhoward@gmail.com,643-185-8696x816,20-01-1980,Other,Finland,Briannamouth,87904,"9979 Deleon Plains Suite 581
Lynnbury, CA 01767",20-10-2023,Returning,514.06,SMS
C1103,Emily,Wiggins,jimmywatson@smith.com,846-968-6794,26-11-1962,Other,Ukraine,East Lauraton,81885,"27912 Shields Place
Jessicaville, AR 87004",19-04-2023,VIP,7435.59,SMS
C1104,Leonard,Sullivan,rbennett@arnold.com,267-434-6607x637,15-01-1975,Female,Dominica,Pearsontown,82583,"99607 Anderson Ville
Andrewton, TX 89910",07-07-2023,VIP,5389.8,Email
C1105,Hannah,Graham,ianolson@yahoo.com,(115)629-5845,13-08-1973,Other,Guernsey,Woodsmouth,84783,"8188 Katie Heights Suite 598
Howellland, IN 41422",10-09-2023,VIP,3128.5,Email
C1106,Allison,Hunter,erinmcfarland@yahoo.com,(923)780-4221x8759,10-11-1958,Male,United Arab Emirates,East Christopher,47594,"32664 Jackson Circle Suite 603
Nicholsonfurt, MA 81266",15-08-2023,Returning,9617.89,Email
C1107,Matthew,Solis,gilbert49@yahoo.com,001-766-215-3732,05-04-1986,Female,Western Sahara,Vasqueztown,94569,"5407 Jessica Estates
East Rogermouth, NJ 69462",14-01-2025,New,663.43,SMS
C1108,Emily,Baker,shelleyjohnson@yahoo.com,(658)065-3525,26-07-2003,Female,Singapore,North Brandychester,77026,"694 Margaret Estate Suite 031
Thomasside, LA 64348",12-07-2024,VIP,5862.22,SMS
C1109,Jessica,Parker,crystal50@steele.com,425.495.6198x539,22-08-1979,Female,Sweden,New Jamesfurt,7827,"194 Gray Mall Apt. 445
North Rogerburgh, NH 85900",01-02-2024,VIP,6484.71,Email
C1110,Stacy,Newman,ruizmegan@sanchez.com,001-515-012-2289x1621,27-08-1999,Other,Comoros,West Patriciahaven,87917,"4266 Christopher Loop
Gregoryberg, AL 32154",03-03-2023,Returning,9640.97,Email
C1111,Tamara,Yates,ricejennifer@wright.com,-3563,05-03-1969,Male,Malawi,East Nicholas,47778,"6233 Gray Streets
Mendezmouth, KS 89736",13-10-2023,VIP,7973.78,Email
C1112,George,Farmer,daniel54@johnson.com,(929)059-2876,18-12-1966,Other,Ireland,Baxtertown,30603,"061 Stacey Ramp Apt. 192
West Stephanieland, LA 97982",10-06-2023,Returning,9345.38,Email
C1113,Denise,Costa,alex99@hotmail.com,001-168-713-1821x2018,07-02-2002,Female,Bosnia and Herzegovina,North Mary,36504,"659 Natalie Camp
Ronaldtown, IL 83116",22-12-2024,New,5708.09,Phone
C1114,John,Brooks,christopher40@smith-lang.com,583.527.8799x48408,16-07-1999,Other,Mayotte,Amandamouth,62532,"6359 Jones Pass Apt. 715
Port Josephfurt, MA 80501",29-01-2023,Returning,2460.23,SMS
C1115,Maria,Ward,danielarmstrong@sawyer.com,3156938195,27-03-1962,Male,Jamaica,South Sarahborough,98848,"4015 Alexander Rest Suite 033
West Leon, DE 06419",02-06-2024,New,9867,Email
C1116,Rebekah,Rodriguez,jgraham@montes.com,-2023,29-10-1984,Other,Sweden,Morseview,35219,"3944 Wheeler Walks
East Kimberly, AL 81297",25-05-2024,New,689.94,SMS
C1117,April,Robinson,emily93@butler.biz,748-553-2702,22-07-1990,Male,Zimbabwe,East Shawn,80403,"0789 Amy Port
East Timothyborough, RI 44021",23-10-2024,VIP,9785.78,Email
C1118,Kimberly,Gonzalez,jenkinsstephanie@holt.com,(647)118-9375x2395,05-12-2005,Other,Andorra,Jamesfurt,85471,"54097 Joseph Gardens Apt. 377
West Marcusside, WA 82751",30-12-2023,VIP,5370.32,Phone
C1119,Isabel,Kelly,elaine78@yahoo.com,6056447941,24-10-1965,Female,Papua New Guinea,Williamsbury,20071,"858 Jacob Ferry
Lake Jessica, MN 83046",06-01-2024,Returning,6095.29,SMS
C1120,Julian,Freeman,lisa78@elliott-collins.com,001-265-743-6383x52007,30-10-1984,Other,Maldives,West Melissa,34846,"PSC 0552, Box 8678
APO AA 02520",20-05-2024,New,5603.26,SMS
C1121,Todd,Glass,gregory91@decker.com,(620)408-5257,11-01-2007,Male,Kazakhstan,Eddiemouth,43766,"0628 Baldwin Wall Suite 563
Lake Jessicahaven, KY 26245",07-09-2024,VIP,6147.17,Phone
C1122,Connor,Avila,marcus36@castillo.com,6358606620,17-02-1955,Male,San Marino,Walkerfort,59648,"87023 Reeves Stream
New Lori, WA 22380",30-08-2024,VIP,2909.55,Email
C1123,Janet,Jackson,carsonlindsey@arnold-fisher.org,+1-728-529-3720x806,09-08-1972,Other,Saint Lucia,Jennaberg,30270,"35396 Danielle Unions
Michelehaven, ME 32909",03-08-2023,New,2824.97,Email
C1124,Shaun,Fletcher,robert89@gmail.com,478.511.9916x1223,21-12-1957,Other,Guadeloupe,Port Debraside,79807,"7311 Sarah Squares
North Michaelport, NC 97291",31-08-2023,Returning,6862.21,Email
C1125,Amanda,Nguyen,rrichard@thomas.org,001-548-082-1133,01-03-1988,Female,Montserrat,Johnhaven,98629,"5923 Henry Crescent Apt. 966
Elizabethfurt, IN 54308",05-10-2024,Returning,2447.5,Email
C1126,Mitchell,Gonzalez,acarter@hansen.com,(960)934-3569,28-08-1973,Other,Comoros,Kyleside,25947,"PSC 3222, Box 1459
APO AA 29467",10-03-2023,Returning,2018.96,Email
C1127,Shane,Jackson,vhuffman@gmail.com,001-991-380-7217x2214,26-01-1979,Female,Togo,Carterton,37214,"24593 Mccarty River
South Morgan, MT 25993",05-03-2023,New,348.75,Email
C1128,Timothy,Graham,efowler@gmail.com,+1-854-948-1519x1543,01-01-1990,Male,Norfolk Island,Harrystad,6575,"18312 Washington Village
Lake Daniel, GA 89119",08-03-2023,New,9165.37,Email
