ShippingID,OrderID,ShippingMethod,ShippingCost,ShippingDate,DeliveryDate,DeliveryStatus,Carrier,TrackingNumber,RecipientName,RecipientContact,ShippingNotes
SH6053,O2483,Same-Day,42.45,06-05-2024,04-02-2025,Delayed,FedEx,cf3760b7-5839-4825-828e-01a06f2531b7,Jessica Scott,312.793.7003x6533,Truth physical about suddenly turn between oil contain glass side party fear.
SH6054,O2329,Express,33.27,28-07-2024,21-01-2025,In Transit,DHL,fd7f31a1-b688-45f2-81d9-ad4b0ad02486,Michael Reed DDS,+1-741-559-7727x19306,Media exist board open movement next space.
SH6055,O2391,Express,37.77,18-03-2024,05-02-2025,Delivered,DHL,28c06ec7-9c65-481e-ab04-05545a5825fd,Hannah Mitchell,894-700-8349x47525,Dinner guy information hard interview probably inside again partner.
SH6056,O2293,Express,17.31,25-02-2024,21-01-2025,Delayed,UPS,25b78d29-29a3-4263-af90-c6036a785f9b,John Thompson,(290)393-5445x8550,Court let number amount million expert knowledge recent.
SH6057,O2152,Same-Day,30.39,15-07-2024,07-02-2025,Delayed,USPS,8338754d-30d9-4361-abce-33ade8039c90,Adam West,(289)978-2379,Brother front person describe indicate drug from much never.
SH6058,O2258,Same-Day,49.97,10-02-2024,26-01-2025,In Transit,FedEx,5226df7b-1f92-45ff-9a6f-ff18d95eef76,Cheryl Rojas,051.815.3700x71643,Page leg three admit type figure during operation it hold put lose only.
SH6059,O2414,Same-Day,19.03,23-11-2024,19-01-2025,In Transit,USPS,89e9ea56-d5ef-492b-80c2-3288cb28ac0f,Amber Torres,420-022-1107x4405,Recently government level scientist else drug for.
SH6060,O2514,Express,37.22,06-08-2024,04-02-2025,Delayed,DHL,dd15416e-1116-4c4c-952f-3633abf78b40,Brandon Houston,685-675-0649x7269,Floor institution training along side middle record party table will reflect.
SH6061,O2150,Same-Day,14.35,01-03-2024,05-02-2025,Delayed,FedEx,a5e22de2-eb3c-41f6-aa20-a9bf3854053a,Benjamin Garcia,2498697732,Including push question play image why form investment coach increase too money religious.
SH6062,O2272,Same-Day,14.76,29-03-2024,04-02-2025,Delivered,USPS,b32f32ea-fe20-49e6-bb3d-2cc5ed04c0c6,James Pollard,576.312.3834x7019,Among social include area leader support coach consider herself trip actually.
SH6063,O2560,Express,32.31,30-10-2024,22-01-2025,Delayed,FedEx,d059c620-a910-4e9b-bde0-ed42e4ee4dea,Stephanie Williams,3457036960,Cup apply here land fund west him investment doctor.
SH6064,O2016,Standard,11.11,12-04-2024,23-01-2025,Delayed,DHL,1d28341e-4784-47ec-a5ae-8ef9f94e8759,Jesse Johnson,8025752419,Each almost reflect brother accept experience person information nature vote bit different.
SH6065,O2564,Express,9.94,22-08-2024,06-02-2025,Delayed,UPS,ca8d1eb4-97fb-4b8a-a48c-59dbf398d35d,Sarah Burton,001-132-660-0428x795,Interest husband dinner human least author cold officer alone organization send.
SH6066,O2090,Express,45.24,17-10-2024,25-01-2025,In Transit,FedEx,2dccfcb6-5b66-4e04-b765-058121dcf17b,Selena Ferguson,807.830.0812x9468,Church daughter detail tree floor three service into respond range meeting three responsibility.
SH6067,O2413,Express,26.78,02-08-2024,28-01-2025,Delayed,DHL,5d59cacb-65af-4e0e-b0c8-7636d7ade90a,Vicki Carroll,704-815-2663x04198,Trip upon there kitchen else produce discussion accept south accept main travel.
SH6068,O2035,Same-Day,20.37,19-01-2024,07-02-2025,In Transit,DHL,69975b4d-e698-4b72-95b6-7c62af3ff644,Kyle Perez,442.619.5855,Investment lose answer morning travel shake require support network area left last.
SH6069,O2081,Same-Day,46.93,13-08-2024,04-02-2025,Delayed,DHL,cca919b4-7c31-43cc-b3ca-206268c91317,Stephanie Sullivan,+1-206-734-1047x8789,Bag behavior rich watch half produce age a benefit.
SH6070,O2486,Standard,36.59,08-10-2024,24-01-2025,In Transit,UPS,bc197dab-64e9-40ac-bddd-65acc0af27e1,Bill Romero,(638)679-1612,Key administration show people song benefit yeah must.
SH6071,O2294,Standard,29.49,17-01-2024,12-02-2025,Delivered,DHL,1ce3db22-c904-489b-8833-7e4015637680,Gregory Conrad,489.019.7373x036,Science rock concern relate me method.
SH6072,O2550,Express,14.16,06-01-2025,19-01-2025,Delivered,DHL,02207c2e-5869-451e-a377-b0019ad15f99,Emily Munoz,2050174247,Information concern recent house field resource among today together believe behavior difficult those.
SH6073,O2252,Standard,38.44,30-12-2024,20-01-2025,In Transit,USPS,66a49ee4-58fb-4f33-886e-e36519ee6a4d,Jason Richardson,(400)220-4795x6411,Seven lead believe south since sign such air business out animal center.
SH6074,O2379,Standard,38.9,02-11-2024,03-02-2025,Delivered,DHL,3d145f9a-f32b-4f90-9d38-1bfc45b298e8,James Pena,777.882.5460,Leg back visit section every difference even change.
SH6075,O2558,Express,42.15,11-06-2024,06-02-2025,Delivered,UPS,5fd0089b-de92-445b-990d-43b48f0e8334,Andrew Terrell,485-116-9421x75865,Be region during old week lose situation place become toward growth reflect all.
SH6076,O2517,Same-Day,38.99,18-06-2024,09-02-2025,Delivered,DHL,a2987b72-d604-46b0-ab8c-ae14ea2a6d89,George Campos,071.535.5106x862,Gas lay employee race hair miss network measure both contain final.
SH6077,O2260,Express,42.86,31-03-2024,19-01-2025,Delayed,UPS,48b8e66a-7751-4a5d-bafb-c69e26591f58,Christopher Cole,856-442-1028x196,Cover teach sound do sea blood.
SH6078,O2149,Same-Day,41.76,17-12-2024,19-01-2025,In Transit,FedEx,2a012db0-3c9d-4858-8004-5ed5b1377085,Amber Pitts,044.580.2988x2377,Event such forward look quite sense attorney.
SH6079,O2544,Express,47.32,03-01-2025,26-01-2025,Delivered,USPS,fe88804e-3ebc-47a9-943d-968a89e939ba,Aaron Gill,001-195-703-0676x87122,Structure list almost lawyer say newspaper front put.
SH6080,O2436,Standard,6.03,08-01-2025,03-02-2025,In Transit,UPS,991a9ca0-795a-4b1a-824b-8f5e2e3ec48f,Amanda Garza,415-403-8715x57011,Kind rock believe environment over around anyone.
SH6081,O2466,Standard,25.57,12-06-2024,20-01-2025,Delayed,DHL,70abd6aa-8f07-4bfb-a1cd-e3ff7546ddff,Daniel Glover,001-742-999-7672x9274,Cold appear their always into degree street four.
SH6082,O2511,Express,12.94,04-01-2025,10-02-2025,Delivered,USPS,a9d82779-c508-4794-ac32-86dbc51f224f,Claudia Johnson,938-271-1416x5872,Answer democratic if ready new several method thank sort black night.
SH6083,O2186,Same-Day,23.71,25-10-2024,21-01-2025,In Transit,DHL,f8974b2f-f291-4121-8a59-11fd71180d44,Mrs. Vanessa Small,161.499.7716x712,Pretty important though situation mother paper skill yeah build debate move.
SH6084,O2193,Express,27.32,19-03-2024,19-01-2025,Delayed,UPS,5ca2e564-746d-471c-9ede-3b607acfa680,Zachary Mitchell,654.881.9558x5616,Green pretty new smile away religious choose perhaps.
SH6085,O2056,Same-Day,18.95,07-06-2024,05-02-2025,In Transit,USPS,b5052754-ad4d-4b29-80c9-ca518149965e,Ms. Pamela Mcclure,469-450-4692,Long assume drop bring it south get reflect candidate quality democratic card.
SH6086,O2047,Express,9.45,16-05-2024,26-01-2025,Delivered,UPS,4571a9c1-bde3-42b5-8dc9-73155bbf076b,Jason Singleton,998.103.1404x84240,Others require hour ten some piece camera.
SH6087,O2572,Express,41.17,07-01-2025,22-01-2025,Delayed,DHL,a0c64975-86e9-43a5-965f-3a379b44fd53,Stacey Pitts,(681)521-4251x95426,Area left street window live sound serve property finish mind group.
SH6088,O2227,Same-Day,45.57,28-04-2024,28-01-2025,In Transit,FedEx,1fc17c50-c6b0-4b46-9b8b-9e47bc041393,Diana Lee,9245671427,Unit toward former mean laugh food he production thousand property fight.
SH6089,O2472,Express,18.86,30-11-2024,04-02-2025,Delivered,FedEx,f93e373b-2e37-4897-9d0e-7a5173a793ae,Jill Hernandez,001-216-186-7958x7247,Base final never want another city care surface south.
SH6090,O2263,Standard,44.93,04-07-2024,13-02-2025,In Transit,UPS,fcebaf1e-f9a7-4040-b2ba-56cceda26c96,Ronald Miller,001-268-732-2986x0939,Serious tough event garden ok face peace.
SH6091,O2206,Express,23.89,25-09-2024,05-02-2025,In Transit,UPS,5b624a35-d7f6-48ec-9856-fe4879632db6,William Hernandez,8475148413,Area list fill certain plan concern girl pick decide give soldier door a.
SH6092,O2480,Same-Day,22.06,23-09-2024,23-01-2025,Delivered,DHL,5915d95a-e485-4298-8536-230e942b376c,Erica Smith,788-973-5436x512,Prevent always fall ago draw include available.
SH6093,O2018,Standard,17.72,20-11-2024,17-01-2025,Delivered,DHL,3f6227dd-6382-47d4-985f-ae4eca968d16,Kara Nelson,237-481-7370,My international miss case edge especially friend financial protect brother.
SH6094,O2155,Express,48.97,17-12-2024,02-02-2025,Delayed,UPS,f9149293-c1aa-47b5-a357-2e85f1247556,Victoria Henderson,+1-999-605-7748x132,Hour drive moment produce would compare marriage first week walk.
SH6095,O2364,Express,29.25,24-05-2024,04-02-2025,Delayed,FedEx,e3b8f142-fbd1-478b-bc99-fe298abc46dd,Sandra Johnson,636-955-1533x978,Realize form use nearly memory hard in opportunity.
SH6096,O2057,Standard,39.87,11-06-2024,23-01-2025,In Transit,UPS,65274c8a-9b62-4f43-a4b3-ed39f4fd6e5f,Jacqueline Tyler,001-252-216-4473x409,Standard decade upon contain decade court for television impact.
SH6097,O2386,Same-Day,49.09,20-06-2024,18-01-2025,Delayed,FedEx,29c7bd72-87a7-45c9-ad64-d8361b4a83f3,Rachel Mcdowell,8044344969,Parent business race commercial court against approach still dog season.
SH6098,O2560,Standard,39.73,01-12-2024,26-01-2025,Delivered,DHL,6516e6e5-b372-4b30-9cb4-4de4ee4718b2,George Fowler,001-699-896-3928,Left these drug amount himself dark camera behind reflect whose summer wall yet nation.
SH6099,O2473,Standard,17.58,17-02-2024,03-02-2025,Delayed,FedEx,e93709e2-0bed-4233-bbe9-b766ba0117e7,Lisa Ramsey,(487)269-6210x928,Picture lot particularly manage character like effect style marriage chair sound.
SH6100,O2206,Same-Day,18.38,18-08-2024,09-02-2025,Delivered,FedEx,8b57deeb-af78-4454-9a61-6a696b94aded,Mr. Thomas Stewart,983-998-6309x41208,Product suffer reduce determine official trade will bad chair lawyer.
SH6101,O2578,Standard,5.01,26-01-2024,22-01-2025,Delayed,DHL,a7fefcd3-221e-4d3d-b83a-f4c4b9d77cf9,Debra Scott,482.858.9625,Hour likely tree then natural future decade car provide goal time.
SH6102,O2144,Same-Day,47.38,10-02-2024,08-02-2025,Delayed,USPS,e6bd6de8-210f-4ef9-974f-5be5e3de7c63,Andrew Preston,710-833-6225,Energy executive method professional magazine bed tough care him prevent.
SH6103,O2398,Express,7.95,01-07-2024,20-01-2025,Delivered,UPS,bab48468-86c5-4158-85db-8558278d3571,Susan Russo,706.689.7731,Learn beat have culture summer position apply example month family under.
SH6104,O2301,Express,7.49,26-11-2024,07-02-2025,Delayed,FedEx,54113dcd-88b8-464c-a847-ab8c2ebc957a,Benjamin Hart,001-872-889-6840x787,Can central around also pressure house answer practice building option.
SH6105,O2550,Same-Day,27.55,24-12-2024,31-01-2025,Delayed,FedEx,cb79ef99-36df-452e-b0d2-22bc6b9e5651,Richard Flores,201.481.5403,Production learn worry chair help write.
SH6106,O2427,Same-Day,12.93,11-04-2024,18-01-2025,Delivered,USPS,a88bfc8b-9a0f-4197-9476-b71efae59fd8,Kaitlyn Edwards DVM,001-011-782-3866,End hold north technology since itself theory while off future else.
SH6107,O2076,Express,17.24,16-11-2024,16-01-2025,In Transit,UPS,167e1b1f-33c6-4be1-a5b6-3945d1122d66,John Fuller,001-185-109-7943x839,Ok lay become cold white position recent bar future about report.
SH6108,O2523,Express,48.95,17-09-2024,04-02-2025,Delivered,UPS,bf78bbf0-b400-4efe-bd48-d86a5ab6dbde,Cheryl Dunn,587.528.4536x8637,Know light into anything myself decade run risk.
SH6109,O2124,Standard,46.7,29-11-2024,03-02-2025,Delivered,USPS,5a936d06-e459-4bb3-a53b-b2b0dd63009f,Amanda Watson,(888)435-6998x970,Hope word rise forward want eight cover media fly section figure.
SH6110,O2062,Same-Day,38.03,29-06-2024,05-02-2025,Delivered,FedEx,9ec7acd3-1b12-4798-9d82-becec414446e,Mark Humphrey,-7448,Democrat hour number everybody environment remember.
SH6111,O2526,Express,44.57,30-07-2024,09-02-2025,In Transit,FedEx,73b6bc6e-5edd-4d63-be26-98b4aae284ba,Nicole Grant,001-593-388-1106,Take pull lead wonder enter set avoid stage song activity wait.
SH6112,O2256,Standard,23.79,24-05-2024,09-02-2025,Delayed,DHL,2b883101-c6a9-4de4-9b4f-8977c8718e5d,Alexander Guzman,+1-375-717-1972x55268,Change report wall girl who bit always.
SH6113,O2544,Same-Day,28.23,02-03-2024,12-02-2025,In Transit,USPS,160a40e8-cdc8-4c36-95bd-65fac4d85b6e,Paula Anderson,584-188-5070x967,Fight send where others lawyer say about.
SH6114,O2269,Standard,29.15,20-08-2024,07-02-2025,In Transit,UPS,aec038b7-78e3-4afa-8307-bc3480c44c66,Stephanie Bates,(751)829-9076x3249,Report exactly apply pay together find color under.
SH6115,O2237,Same-Day,37.05,19-05-2024,02-02-2025,Delayed,USPS,b1b1acc2-9b57-455b-94e3-3cd6394854ea,Amanda Hall,(970)867-3272x897,Staff parent face policy condition any like also.
SH6116,O2018,Express,24.11,21-01-2024,10-02-2025,Delivered,DHL,cc3bdc18-0b78-4dc2-be01-22c7abe6fd3f,Kelly Boyle,001-665-120-9891x0652,Modern share lead ball way piece whom reason evening nearly occur issue.
SH6117,O2316,Standard,45.72,05-06-2024,23-01-2025,In Transit,DHL,100a0f83-eb65-4e5d-9c6d-2ae81908a41a,Joshua Chen,670.792.2062x1600,Star two firm sign anything bad.
SH6118,O2158,Standard,47.83,08-05-2024,04-02-2025,In Transit,FedEx,0a651501-acdc-4d2a-9698-c8f55a600864,David Yang,001-078-951-7324x258,Operation happen president along choice above baby top such situation.
SH6119,O2387,Express,43.45,31-01-2024,30-01-2025,Delayed,DHL,a540c13d-8832-4082-8e3f-c274507a71e8,Albert Raymond,(252)046-0953x79067,Interview onto attorney sometimes building until similar.
SH6120,O2149,Standard,34.62,27-11-2024,05-02-2025,In Transit,DHL,bf41ba38-240a-4aca-bc24-4c8333140c8f,Shelley Wong,3476746199,For of success likely discussion tree region.
SH6121,O2435,Standard,33.88,04-02-2024,03-02-2025,In Transit,DHL,5236fe3a-acb5-4488-b745-5b4b27645006,Troy Brooks,(299)592-9819x06486,Government like deal way out state idea mother.
SH6122,O2452,Standard,48.92,15-08-2024,22-01-2025,Delayed,FedEx,03cddafd-f59f-4f56-9e3f-b1fc794ec137,Jacob Spencer,811-004-7990,Almost admit wish everyone plan inside deep season bar cost.
SH6123,O2225,Standard,29.42,12-06-2024,20-01-2025,Delayed,UPS,af3bada7-79e9-4380-b73d-b7af7b5c0a75,Kenneth Rodriguez,182-669-0318x818,Sea area simply alone young represent particular see hold.
SH6124,O2003,Same-Day,7.58,16-03-2024,11-02-2025,In Transit,FedEx,72ff6fbd-0b06-49b7-868b-5b2106fe3725,Brenda Johnson,710.346.0629,Bag build big happen practice join.
SH6125,O2225,Same-Day,20.91,20-08-2024,22-01-2025,Delivered,FedEx,05bdd434-cce2-4794-949b-bf8ac40bae92,Sarah Davis,001-209-252-5682x771,General page throw analysis have board evening effort hour share carry any blood.
SH6126,O2261,Standard,6.52,16-08-2024,10-02-2025,In Transit,FedEx,e48d9300-252a-4d44-89e6-c6d1b492bd04,John Rivera,(665)579-8888x1008,Join star then arrive treatment report.
SH6127,O2320,Same-Day,6.87,05-05-2024,09-02-2025,In Transit,FedEx,0bf2f4e7-ee87-445f-8678-9f2f17d39ee2,Kelly Maxwell,144-186-9785x060,Leader city somebody term wear identify.
SH6128,O2405,Standard,42.56,26-06-2024,21-01-2025,Delayed,DHL,a10478f5-a2bf-4561-bb73-d9c276699241,Clayton Dillon,817-330-3330,Entire writer seem oil usually base.
SH6129,O2138,Standard,26.93,19-08-2024,30-01-2025,Delivered,UPS,65f26233-f937-43f8-a374-dbffd1221163,Jacqueline Long,921-298-5444x99178,Which change station prepare institution young the this watch probably.
SH6130,O2284,Standard,37,06-06-2024,04-02-2025,Delayed,UPS,f666d761-1b9e-4645-84ea-993a30d352f8,Alexander Jordan,(049)864-6235,Win food force safe similar on reach bad each piece professional argue need.
SH6131,O2344,Express,46.5,07-12-2024,01-02-2025,Delivered,USPS,988f085c-49f0-4d1e-99bf-15dce5284776,Pamela Castro PhD,-3188,Help support everything reduce occur adult where general foreign billion most wind game.
SH6132,O2003,Express,14.51,21-08-2024,20-01-2025,Delivered,UPS,b0bff798-b9a0-49dd-8c71-5f819d1a25d2,Erin Dorsey,743-566-8749x95173,Chair simply training rather out too model including bit.
